,Track ID,Subgenre,Slice,Chroma,RMS,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Zero Crossing Rate,MFCC,Harmony,Tempo
54,5jaOMHW3VFTt8BVK59bPRb,Black,1,0.63668287,0.17491028,445371.2154361243,382327.4270009583,2841519.851958063,0.0587665024704484,2561.6091,0.014307829,135.99917763157896
55,5jaOMHW3VFTt8BVK59bPRb,Black,2,0.5935305,0.16220109,467709.87586394855,270953.3639440201,2975203.287283324,0.0734904505013335,2271.5725,0.012935678,139.6748310810811
56,5jaOMHW3VFTt8BVK59bPRb,Black,3,0.6650788,0.16861905,626505.9546423855,325341.3992546397,3890871.587634035,0.0714961686989263,2241.4905,0.01420097,139.6748310810811
57,5jaOMHW3VFTt8BVK59bPRb,Black,4,0.6137893,0.1674387,546503.6362860226,365189.24915103154,3968370.665839748,0.0686660633163075,2324.9436,0.013550209,139.6748310810811
58,5jaOMHW3VFTt8BVK59bPRb,Black,5,0.67248464,0.17219971,485117.3363462279,243782.28305231105,2751755.9197218944,0.0724859058966255,2049.2,0.0143722445,135.99917763157896
59,5jaOMHW3VFTt8BVK59bPRb,Black,6,0.648971,0.1693376,570846.0867961458,386978.3939569392,4447447.136585132,0.0630229079899823,2336.9656,0.014005677,70.79409246575342
60,5jaOMHW3VFTt8BVK59bPRb,Black,7,0.6461203,0.16365764,484073.18516692286,265532.6269541645,2905702.280564513,0.0748183143062292,2141.9507,0.012934203,139.6748310810811
61,5jaOMHW3VFTt8BVK59bPRb,Black,8,0.6487009,0.16038631,436051.3847066427,353882.0971453861,3564035.521263028,0.0610236870158673,2404.17,0.013411723,139.6748310810811
62,5jaOMHW3VFTt8BVK59bPRb,Black,9,0.6337961,0.16310774,512313.67295045423,283701.0533344258,3227650.8793669944,0.075988867207483,2064.171,0.012768672,166.70866935483872
63,3lqNJQbW3hVmkHcScJrmr3,Black,1,0.6580556,0.18047209,256858.2588437548,224554.200411821,1157254.642288314,0.0617721662138789,2700.1104,0.018500112,123.046875
64,3lqNJQbW3hVmkHcScJrmr3,Black,2,0.67590684,0.17370705,165895.12701004022,188828.7835581701,759604.8026953588,0.0625484670165136,2763.447,0.016286194,156.60511363636363
65,3lqNJQbW3hVmkHcScJrmr3,Black,3,0.6792437,0.19163461,224817.2740190779,191561.57272710552,1396319.433437289,0.0606324580894262,2572.5596,0.01895473,156.60511363636363
66,3lqNJQbW3hVmkHcScJrmr3,Black,4,0.63467145,0.20481265,285863.335771352,210779.77557036208,1444440.6134243857,0.055217710214271,2375.8774,0.024757741,52.734375
67,3lqNJQbW3hVmkHcScJrmr3,Black,5,0.65326184,0.20318301,236227.4843153618,190839.2822725012,1070614.8878124005,0.0519972375189137,2600.31,0.026811928,80.74951171875
68,3lqNJQbW3hVmkHcScJrmr3,Black,6,0.70523,0.20648359,300097.1495474777,212462.3603964888,1663032.458780733,0.0625107301475554,2318.768,0.016812064,151.99908088235293
69,3lqNJQbW3hVmkHcScJrmr3,Black,7,0.6584035,0.19116442,295301.5286312619,255442.43638328195,1222921.8177916624,0.0523144437763445,2929.684,0.022606429,161.4990234375
